t, x(t)
0.000000, 1.000000
0.100000, 1.089005
0.200000, 1.134586
0.300000, 1.248936
0.400000, 1.390161
0.500000, 1.475602
0.600000, 1.553451
0.700000, 1.716007
0.800000, 1.846836
0.900000, 1.916906
1.000000, 2.115871
1.100000, 2.369991
1.200000, 2.517872
1.300000, 2.680323
1.400000, 2.877180
1.500000, 3.099443
1.600000, 3.369028
1.700000, 3.356148
1.800000, 3.438779
1.900000, 3.660787
2.000000, 3.808185
2.100000, 3.892699
2.200000, 3.964889
2.300000, 4.025073
2.400000, 4.062926
2.500000, 3.961469
2.600000, 3.984177
2.700000, 3.647374
2.800000, 3.539695
2.900000, 3.347337
3.000000, 3.337135
3.100000, 3.078766
3.200000, 2.912595
3.300000, 2.688892
3.400000, 2.440356
3.500000, 2.263339
3.600000, 2.050991
3.700000, 1.854296
3.800000, 1.677063
3.900000, 1.539634
4.000000, 1.368607
4.100000, 1.288171
4.200000, 1.130196
4.300000, 1.009286
4.400000, 0.898922
4.500000, 0.749642
4.600000, 0.710448
4.700000, 0.646301
4.800000, 0.606542
4.900000, 0.559709
5.000000, 0.550874
5.100000, 0.518601
5.200000, 0.502481
5.300000, 0.479950
5.400000, 0.489990
5.500000, 0.473759
5.600000, 0.481533
5.700000, 0.504279
5.800000, 0.501505
5.900000, 0.500202
6.000000, 0.513811
6.100000, 0.541505
6.200000, 0.564577
6.300000, 0.613813
6.400000, 0.679843
6.500000, 0.750525
6.600000, 0.807273
6.700000, 0.850903
6.800000, 0.919853
6.900000, 1.065504
7.000000, 1.169698
7.100000, 1.322399
7.200000, 1.480692
7.300000, 1.562681
7.400000, 1.694467
7.500000, 1.729078
7.600000, 1.926684
7.700000, 2.128527
7.800000, 2.218735
7.900000, 2.529104
8.000000, 2.749102
8.100000, 2.966270
8.200000, 2.984939
8.300000, 3.139105
8.400001, 3.310976
8.500000, 3.409532
8.600000, 3.342940
8.700000, 3.550825
8.800000, 3.612699
8.900001, 3.600643
9.000000, 3.560566
9.100000, 3.510773
9.200000, 3.370068
9.300000, 3.117447
9.400001, 2.943266
9.500000, 2.687264
9.600000, 2.388469
9.700000, 2.202790
9.800000, 1.851215
9.900001, 1.622704
t, x(t)
0.000000, 1.000000
0.100000, 1.033461
0.200000, 1.121169
0.300000, 1.206857
0.400000, 1.305617
0.500000, 1.424072
0.600000, 1.568988
0.700000, 1.721699
0.800000, 1.905785
0.900000, 2.094916
1.000000, 2.277246
1.100000, 2.447461
1.200000, 2.604641
1.300000, 2.795638
1.400000, 3.018917
1.500000, 3.270679
1.600000, 3.439345
1.700000, 3.631640
1.800000, 3.819402
1.900000, 4.078420
2.000000, 4.262300
2.100000, 4.179046
2.200000, 4.393964
2.300000, 4.699825
2.400000, 4.804384
2.500000, 4.628136
2.600000, 4.308589
2.700000, 4.154142
2.800000, 3.918955
2.900000, 3.842360
3.000000, 3.557757
3.100000, 3.372815
3.200000, 3.187452
3.300000, 2.922384
3.400000, 2.787337
3.500000, 2.614624
3.600000, 2.433892
3.700000, 2.154704
3.800000, 1.889181
3.900000, 1.653082
4.000000, 1.425951
4.100000, 1.288908
4.200000, 1.272196
4.300000, 1.193506
4.400000, 1.134228
4.500000, 1.053392
4.600000, 0.924653
4.700000, 0.902850
4.800000, 0.833183
4.900000, 0.805500
5.000000, 0.756553
5.100000, 0.782502
5.200000, 0.716514
5.300000, 0.719648
5.400000, 0.705899
5.500000, 0.678927
5.600000, 0.678991
5.700000, 0.720652
5.800000, 0.745569
5.900000, 0.769446
6.000000, 0.791115
6.100000, 0.850675
6.200000, 0.942892
6.300000, 1.020451
6.400000, 1.083135
6.500000, 1.171745
6.600000, 1.287163
6.700000, 1.441678
6.800000, 1.598852
6.900000, 1.638396
7.000000, 1.757182
7.100000, 1.902294
7.200000, 2.129369
7.300000, 2.427978
7.400000, 2.682452
7.500000, 2.865235
7.600000, 3.057475
7.700000, 3.411226
7.800000, 3.578468
7.900000, 3.761006
8.000000, 4.175663
8.100000, 4.404921
8.200000, 4.541770
8.300000, 4.425477
8.400001, 4.585189
8.500000, 4.632527
8.600000, 4.625534
8.700000, 4.536297
8.800000, 4.544752
8.900001, 4.321094
9.000000, 4.298511
9.100000, 4.349037
9.200000, 4.106611
9.300000, 3.826619
9.400001, 3.690613
9.500000, 3.410532
9.600000, 3.209487
9.700000, 2.835534
9.800000, 2.480973
9.900001, 2.363190
t, x(t)
0.000000, 1.000000
0.100000, 1.069595
0.200000, 1.145399
0.300000, 1.292031
0.400000, 1.428546
0.500000, 1.634518
0.600000, 1.780696
0.700000, 1.954526
0.800000, 2.204515
0.900000, 2.374495
1.000000, 2.487668
1.100000, 2.633780
1.200000, 2.903997
1.300000, 3.094930
1.400000, 3.327085
1.500000, 3.624190
1.600000, 3.946451
1.700000, 4.073105
1.800000, 4.444602
1.900000, 4.658803
2.000000, 4.778092
2.100000, 4.842196
2.200000, 4.702080
2.300000, 4.655097
2.400000, 4.483257
2.500000, 4.433846
2.600000, 3.966277
2.700000, 4.016947
2.800000, 3.948554
2.900000, 3.810999
3.000000, 3.475540
3.100000, 3.420856
3.200000, 3.310494
3.300000, 2.912730
3.400000, 2.721872
3.500000, 2.342547
3.600000, 2.135711
3.700000, 1.958783
3.800000, 1.796676
3.900000, 1.548309
4.000000, 1.367478
4.100000, 1.162063
4.200000, 1.027579
4.300000, 0.902834
4.400000, 0.848159
4.500000, 0.804274
4.600000, 0.752989
4.700000, 0.617994
4.800000, 0.562403
4.900000, 0.491256
5.000000, 0.453466
5.100000, 0.436397
5.200000, 0.436643
5.300000, 0.388196
5.400000, 0.359957
5.500000, 0.354065
5.600000, 0.365349
5.700000, 0.345824
5.800000, 0.346873
5.900000, 0.358800
6.000000, 0.363731
6.100000, 0.395092
6.200000, 0.408603
6.300000, 0.454517
6.400000, 0.480479
6.500000, 0.516772
6.600000, 0.556196
6.700000, 0.588040
6.800000, 0.621588
6.900000, 0.675750
7.000000, 0.746527
7.100000, 0.817452
7.200000, 0.909436
7.300000, 0.938054
7.400000, 1.055591
7.500000, 1.162082
7.600000, 1.275939
7.700000, 1.346356
7.800000, 1.406217
7.900000, 1.477563
8.000000, 1.584413
8.100000, 1.673292
8.200000, 1.784815
8.300000, 1.928759
8.400001, 1.997760
8.500000, 1.944099
8.600000, 1.943728
8.700000, 2.025578
8.800000, 2.006493
8.900001, 2.032719
9.000000, 1.927895
9.100000, 1.778324
9.200000, 1.698711
9.300000, 1.667560
9.400001, 1.603048
9.500000, 1.414242
9.600000, 1.394804
9.700000, 1.210770
9.800000, 1.032184
9.900001, 0.954592
t, x(t)
0.000000, 1.000000
0.100000, 1.081553
0.200000, 1.192703
0.300000, 1.281524
0.400000, 1.400788
0.500000, 1.621359
0.600000, 1.720694
0.700000, 1.906861
0.800000, 2.119822
0.900000, 2.406384
1.000000, 2.526565
1.100000, 2.830101
1.200000, 3.114317
1.300000, 3.330751
1.400000, 3.617956
1.500000, 3.858370
1.600000, 3.999216
1.700000, 4.210647
1.800000, 4.280243
1.900000, 4.438545
2.000000, 4.677491
2.100000, 4.822067
2.200000, 4.946290
2.300000, 4.401628
2.400000, 4.284195
2.500000, 4.370769
2.600000, 4.220104
2.700000, 4.074280
2.800000, 4.168188
2.900000, 3.952548
3.000000, 3.592023
3.100000, 3.200692
3.200000, 2.953122
3.300000, 2.534746
3.400000, 2.350189
3.500000, 1.978005
3.600000, 1.708400
3.700000, 1.556530
3.800000, 1.417483
3.900000, 1.301695
4.000000, 1.215238
4.100000, 1.039310
4.200000, 0.971037
4.300000, 0.884173
4.400000, 0.807183
4.500000, 0.731695
4.600000, 0.651827
4.700000, 0.568912
4.800000, 0.535404
4.900000, 0.497112
5.000000, 0.495433
5.100000, 0.447044
5.200000, 0.445124
5.300000, 0.455194
5.400000, 0.448303
5.500000, 0.474879
5.600000, 0.472358
5.700000, 0.479022
5.800000, 0.489413
5.900000, 0.508399
6.000000, 0.562811
6.100000, 0.569122
6.200000, 0.587800
6.300000, 0.641628
6.400000, 0.685821
6.500000, 0.765596
6.600000, 0.816284
6.700000, 0.897213
6.800000, 1.011362
6.900000, 1.143210
7.000000, 1.235208
7.100000, 1.380011
7.200000, 1.479358
7.300000, 1.630244
7.400000, 1.809862
7.500000, 1.981254
7.600000, 2.159567
7.700000, 2.449532
7.800000, 2.707752
7.900000, 2.900628
8.000000, 3.006048
8.100000, 2.967781
8.200000, 2.907118
8.300000, 2.926668
8.400001, 3.058096
8.500000, 3.165140
8.600000, 3.282557
8.700000, 3.383938
8.800000, 3.344959
8.900001, 3.468253
9.000000, 3.580483
9.100000, 3.453612
9.200000, 3.403341
9.300000, 3.213737
9.400001, 3.087611
9.500000, 2.881664
9.600000, 2.781822
9.700000, 2.434477
9.800000, 2.289828
9.900001, 2.085186
t, x(t)
0.000000, 1.000000
0.100000, 1.078549
0.200000, 1.159971
0.300000, 1.262408
0.400000, 1.487401
0.500000, 1.499656
0.600000, 1.646741
0.700000, 1.754264
0.800000, 1.898498
0.900000, 2.153635
1.000000, 2.292218
1.100000, 2.643527
1.200000, 2.833464
1.300000, 3.159885
1.400000, 3.181087
1.500000, 3.326626
1.600000, 3.550300
1.700000, 3.786601
1.800000, 3.933417
1.900000, 4.439794
2.000000, 4.818525
2.100000, 5.069444
2.200000, 5.065897
2.300000, 4.889010
2.400000, 4.817989
2.500000, 4.587525
2.600000, 4.224807
2.700000, 4.115340
2.800000, 3.967611
2.900000, 3.833703
3.000000, 3.666597
3.100000, 3.344627
3.200000, 3.214279
3.300000, 2.752071
3.400000, 2.587977
3.500000, 2.275683
3.600000, 2.192976
3.700000, 2.064101
3.800000, 1.825937
3.900000, 1.656974
4.000000, 1.535459
4.100000, 1.307365
4.200000, 1.163037
4.300000, 1.044314
4.400000, 0.975551
4.500000, 0.919403
4.600000, 0.826957
4.700000, 0.781436
4.800000, 0.696023
4.900000, 0.641725
5.000000, 0.625543
5.100000, 0.618410
5.200000, 0.597516
5.300000, 0.573018
5.400000, 0.549682
5.500000, 0.549644
5.600000, 0.537993
5.700000, 0.546101
5.800000, 0.532949
5.900000, 0.555647
6.000000, 0.576069
6.100000, 0.616692
6.200000, 0.661630
6.300000, 0.696790
6.400000, 0.767994
6.500000, 0.787344
6.600000, 0.854436
6.700000, 0.956919
6.800000, 1.139412
6.900000, 1.214668
7.000000, 1.304497
7.100000, 1.506259
7.200000, 1.604822
7.300000, 1.668517
7.400000, 1.841861
7.500000, 1.925959
7.600000, 2.101624
7.700000, 2.336367
7.800000, 2.592983
7.900000, 2.830108
8.000000, 2.939567
8.100000, 3.180974
8.200000, 3.342251
8.300000, 3.418573
8.400001, 3.501111
8.500000, 3.551957
8.600000, 3.604276
8.700000, 3.747678
8.800000, 3.649043
8.900001, 3.497895
9.000000, 3.498587
9.100000, 3.314884
9.200000, 3.260316
9.300000, 2.888390
9.400001, 2.547580
9.500000, 2.314441
9.600000, 2.103667
9.700000, 1.870967
9.800000, 1.638414
9.900001, 1.493703
t, x(t)
0.000000, 1.000000
0.100000, 1.015620
0.200000, 1.083768
0.300000, 1.239367
0.400000, 1.389186
0.500000, 1.517464
0.600000, 1.723189
0.700000, 1.865639
0.800000, 1.983510
0.900000, 2.264318
1.000000, 2.368147
1.100000, 2.490224
1.200000, 2.780171
1.300000, 3.044764
1.400000, 3.337126
1.500000, 3.589086
1.600000, 3.902372
1.700000, 4.244043
1.800000, 4.604228
1.900000, 4.835927
2.000000, 5.103245
2.100000, 5.401597
2.200000, 5.490473
2.300000, 5.773426
2.400000, 5.680952
2.500000, 5.858703
2.600000, 5.455439
2.700000, 5.324329
2.800000, 4.904830
2.900000, 4.798064
3.000000, 4.328440
3.100000, 3.877990
3.200000, 3.788328
3.300000, 3.364494
3.400000, 3.102135
3.500000, 2.643610
3.600000, 2.375535
3.700000, 2.221833
3.800000, 2.008080
3.900000, 1.816354
4.000000, 1.694784
4.100000, 1.515534
4.200000, 1.310153
4.300000, 1.236204
4.400000, 1.142400
4.500000, 1.054795
4.600000, 0.992852
4.700000, 0.887290
4.800000, 0.862503
4.900000, 0.822248
5.000000, 0.845774
5.100000, 0.832781
5.200000, 0.823089
5.300000, 0.816692
5.400000, 0.828206
5.500000, 0.839427
5.600000, 0.804870
5.700000, 0.805617
5.800000, 0.878441
5.900000, 0.945150
6.000000, 0.929055
6.100000, 0.932385
6.200000, 0.983095
6.300000, 1.050703
6.400000, 1.154192
6.500000, 1.215510
6.600000, 1.339852
6.700000, 1.457033
6.800000, 1.605984
6.900000, 1.714818
7.000000, 1.908765
7.100000, 2.142432
7.200000, 2.298560
7.300000, 2.543429
7.400000, 2.843451
7.500000, 3.068144
7.600000, 3.437948
7.700000, 3.869622
7.800000, 4.265496
7.900000, 4.575073
8.000000, 4.789159
8.100000, 5.062561
8.200000, 5.048137
8.300000, 5.244992
8.400001, 5.624734
8.500000, 5.761399
8.600000, 5.472886
8.700000, 5.568456
8.800000, 5.547499
8.900001, 5.351553
9.000000, 5.096105
9.100000, 4.651945
9.200000, 4.219761
9.300000, 4.091292
9.400001, 3.665740
9.500000, 3.284633
9.600000, 3.079081
9.700000, 2.894044
9.800000, 2.560497
9.900001, 2.371891
t, x(t)
0.000000, 1.000000
0.100000, 1.138606
0.200000, 1.214525
0.300000, 1.298855
0.400000, 1.443916
0.500000, 1.664884
0.600000, 1.791385
0.700000, 2.042598
0.800000, 2.236434
0.900000, 2.446531
1.000000, 2.800249
1.100000, 3.042983
1.200000, 3.350125
1.300000, 3.699942
1.400000, 4.016860
1.500000, 4.406723
1.600000, 4.746279
1.700000, 4.989416
1.800000, 5.048729
1.900000, 5.432417
2.000000, 5.444900
2.100000, 5.796427
2.200000, 5.792842
2.300000, 5.811697
2.400000, 5.536401
2.500000, 5.306427
2.600000, 5.221724
2.700000, 5.157303
2.800000, 4.899963
2.900000, 4.452234
3.000000, 4.201872
3.100000, 4.062782
3.200000, 3.627440
3.300000, 3.441903
3.400000, 3.181722
3.500000, 2.874175
3.600000, 2.515851
3.700000, 2.345018
3.800000, 2.073854
3.900000, 1.921857
4.000000, 1.870058
4.100000, 1.677818
4.200000, 1.631006
4.300000, 1.521093
4.400000, 1.394344
4.500000, 1.275071
4.600000, 1.174717
4.700000, 1.111552
4.800000, 1.016865
4.900000, 0.912456
5.000000, 0.880550
5.100000, 0.835398
5.200000, 0.805059
5.300000, 0.778268
5.400000, 0.755820
5.500000, 0.738124
5.600000, 0.707721
5.700000, 0.706964
5.800000, 0.747412
5.900000, 0.805222
6.000000, 0.854770
6.100000, 0.888992
6.200000, 0.911428
6.300000, 1.006970
6.400000, 1.081517
6.500000, 1.165431
6.600000, 1.250320
6.700000, 1.353023
6.800000, 1.466027
6.900000, 1.573999
7.000000, 1.744687
7.100000, 1.940711
7.200000, 2.085670
7.300000, 2.350657
7.400000, 2.627549
7.500000, 2.738496
7.600000, 3.193911
7.700000, 3.199645
7.800000, 3.331302
7.900000, 3.432067
8.000000, 3.747886
8.100000, 4.004475
8.200000, 4.157978
8.300000, 4.180514
8.400001, 4.478593
8.500000, 4.494614
8.600000, 4.504842
8.700000, 4.308464
8.800000, 4.554273
8.900001, 4.471090
9.000000, 4.315609
9.100000, 4.310649
9.200000, 3.999674
9.300000, 3.687461
9.400001, 3.467170
9.500000, 3.260616
9.600000, 2.929400
9.700000, 2.679947
9.800000, 2.406187
9.900001, 2.176122
t, x(t)
0.000000, 1.000000
0.100000, 1.050113
0.200000, 1.124799
0.300000, 1.211411
0.400000, 1.292987
0.500000, 1.382798
0.600000, 1.567783
0.700000, 1.793322
0.800000, 1.916492
0.900000, 2.052948
1.000000, 2.275442
1.100000, 2.430499
1.200000, 2.780117
1.300000, 3.118617
1.400000, 3.377630
1.500000, 3.850963
1.600000, 4.041529
1.700000, 4.335605
1.800000, 4.450130
1.900000, 4.897083
2.000000, 5.106719
2.100000, 5.168325
2.200000, 5.219664
2.300000, 5.528292
2.400000, 5.473003
2.500000, 5.590261
2.600000, 5.521077
2.700000, 5.463645
2.800000, 5.541832
2.900000, 4.900426
3.000000, 4.716885
3.100000, 4.445102
3.200000, 4.191792
3.300000, 3.942600
3.400000, 3.637856
3.500000, 3.208862
3.600000, 2.816167
3.700000, 2.532242
3.800000, 2.343214
3.900000, 2.156858
4.000000, 1.970794
4.100000, 1.744275
4.200000, 1.588888
4.300000, 1.418975
4.400000, 1.313130
4.500000, 1.216617
4.600000, 1.118795
4.700000, 1.029544
4.800000, 0.925470
4.900000, 0.883791
5.000000, 0.854737
5.100000, 0.835008
5.200000, 0.833798
5.300000, 0.795517
5.400000, 0.734311
5.500000, 0.750272
5.600000, 0.764922
5.700000, 0.785011
5.800000, 0.786871
5.900000, 0.776985
6.000000, 0.850884
6.100000, 0.880785
6.200000, 0.889611
6.300000, 0.946439
6.400000, 0.978808
6.500000, 1.041280
6.600000, 1.115341
6.700000, 1.223412
6.800000, 1.335089
6.900000, 1.401848
7.000000, 1.564586
7.100000, 1.739009
7.200000, 1.963260
7.300000, 2.157426
7.400000, 2.420093
7.500000, 2.614537
7.600000, 2.900064
7.700000, 3.071887
7.800000, 3.376531
7.900000, 3.628610
8.000000, 3.836581
8.100000, 4.195505
8.200000, 4.528045
8.300000, 4.760504
8.400001, 5.111810
8.500000, 5.310889
8.600000, 5.389948
8.700000, 5.006055
8.800000, 4.981632
8.900001, 4.798433
9.000000, 4.415399
9.100000, 4.128577
9.200000, 4.024740
9.300000, 3.718124
9.400001, 3.195788
9.500000, 2.895842
9.600000, 2.508038
9.700000, 2.258885
9.800000, 1.975958
9.900001, 1.747641
t, x(t)
0.000000, 1.000000
0.100000, 1.083387
0.200000, 1.156239
0.300000, 1.232205
0.400000, 1.343435
0.500000, 1.479750
0.600000, 1.636572
0.700000, 1.876364
0.800000, 2.003384
0.900000, 2.156272
1.000000, 2.457030
1.100000, 2.658545
1.200000, 2.936501
1.300000, 3.207163
1.400000, 3.451941
1.500000, 3.767401
1.600000, 3.894127
1.700000, 4.160283
1.800000, 4.350132
1.900000, 4.582459
2.000000, 4.734238
2.100000, 4.705716
2.200000, 4.838161
2.300000, 5.081468
2.400000, 5.249426
2.500000, 5.141127
2.600000, 4.980736
2.700000, 4.809524
2.800000, 4.716233
2.900000, 4.298566
3.000000, 4.131889
3.100000, 3.945394
3.200000, 3.581822
3.300000, 3.307698
3.400000, 2.875429
3.500000, 2.605805
3.600000, 2.308632
3.700000, 2.065870
3.800000, 1.904042
3.900000, 1.641200
4.000000, 1.528089
4.100000, 1.373866
4.200000, 1.216979
4.300000, 1.145436
4.400000, 1.068114
4.500000, 0.943940
4.600000, 0.890624
4.700000, 0.800379
4.800000, 0.738372
4.900000, 0.693934
5.000000, 0.653040
5.100000, 0.623407
5.200000, 0.570171
5.300000, 0.511160
5.400000, 0.496327
5.500000, 0.522929
5.600000, 0.557307
5.700000, 0.536132
5.800000, 0.548650
5.900000, 0.548896
6.000000, 0.588780
6.100000, 0.626688
6.200000, 0.634732
6.300000, 0.715222
6.400000, 0.775604
6.500000, 0.873071
6.600000, 0.990246
6.700000, 1.052946
6.800000, 1.131201
6.900000, 1.338764
7.000000, 1.537443
7.100000, 1.693640
7.200000, 1.945816
7.300000, 2.167292
7.400000, 2.381120
7.500000, 2.492330
7.600000, 2.572753
7.700000, 2.702655
7.800000, 2.669945
7.900000, 2.959668
8.000000, 3.142873
8.100000, 3.274169
8.200000, 3.340781
8.300000, 3.637486
8.400001, 3.884852
8.500000, 3.912340
8.600000, 4.130376
8.700000, 3.970633
8.800000, 3.916969
8.900001, 3.990719
9.000000, 3.757179
9.100000, 3.500273
9.200000, 3.330677
9.300000, 3.415705
9.400001, 3.015411
9.500000, 2.602871
9.600000, 2.524442
9.700000, 2.482720
9.800000, 2.316466
9.900001, 2.276787
t, x(t)
0.000000, 1.000000
0.100000, 1.064841
0.200000, 1.181569
0.300000, 1.279901
0.400000, 1.347355
0.500000, 1.466889
0.600000, 1.503346
0.700000, 1.697680
0.800000, 1.796372
0.900000, 1.894175
1.000000, 2.161615
1.100000, 2.408774
1.200000, 2.579571
1.300000, 2.928067
1.400000, 3.263455
1.500000, 3.594273
1.600000, 3.826746
1.700000, 3.940322
1.800000, 3.969386
1.900000, 4.126867
2.000000, 4.260165
2.100000, 4.530586
2.200000, 4.819408
2.300000, 4.496853
2.400000, 4.446086
2.500000, 4.374794
2.600000, 4.224023
2.700000, 3.973618
2.800000, 3.814866
2.900000, 3.688600
3.000000, 3.543826
3.100000, 3.235572
3.200000, 2.995114
3.300000, 2.611209
3.400000, 2.262845
3.500000, 2.110430
3.600000, 1.905518
3.700000, 1.703382
3.800000, 1.536278
3.900000, 1.360943
4.000000, 1.259067
4.100000, 1.203318
4.200000, 1.095133
4.300000, 0.947690
4.400000, 0.861656
4.500000, 0.768884
4.600000, 0.728711
4.700000, 0.714328
4.800000, 0.653451
4.900000, 0.641611
5.000000, 0.612344
5.100000, 0.625064
5.200000, 0.589940
5.300000, 0.559347
5.400000, 0.566261
5.500000, 0.574351
5.600000, 0.581968
5.700000, 0.556052
5.800000, 0.560451
5.900000, 0.552219
6.000000, 0.607947
6.100000, 0.645819
6.200000, 0.691538
6.300000, 0.742429
6.400000, 0.801604
6.500000, 0.850262
6.600000, 0.994535
6.700000, 1.050626
6.800000, 1.151356
6.900000, 1.280771
7.000000, 1.396197
7.100000, 1.601804
7.200000, 1.793460
7.300000, 1.960595
7.400000, 2.089692
7.500000, 2.257663
7.600000, 2.391491
7.700000, 2.499797
7.800000, 2.675319
7.900000, 2.756959
8.000000, 3.020343
8.100000, 3.128052
8.200000, 3.231214
8.300000, 3.395066
8.400001, 3.690830
8.500000, 3.972819
8.600000, 4.015285
8.700000, 4.021487
8.800000, 3.908796
8.900001, 3.939578
9.000000, 3.840950
9.100000, 3.573675
9.200000, 3.448172
9.300000, 3.176059
9.400001, 3.076432
9.500000, 2.886453
9.600000, 2.650153
9.700000, 2.523148
